getline,args:[i8**;i64*;%struct._IO_FILE*;],ret:i64
split_3,args:[i8*;i64;i8**;i64*;i32*;i8**;],ret:i1
problematic_chars,args:[i8*;],ret:i1
putchar_unlocked,args:[i32;],ret:i32
print_filename,args:[i8*;i1;],ret:void
hex_equal,args:[i8*;i8*;],ret:i1
feof_unlocked,args:[%struct._IO_FILE*;],ret:i32
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
select_plural,args:[i64;],ret:i64
bsd_split_3,args:[i8*;i64;i8**;i64*;i8**;i1;],ret:i1
c_isxdigit,args:[i32;],ret:i1
valid_digits,args:[i8*;i64;],ret:i1
filename_unescape,args:[i8*;i64;],ret:i8*
c_tolower,args:[i32;],ret:i32
blake2b_stream,args:[%struct._IO_FILE*;i8*;i64;],ret:i32
fread.inline,args:[i8*;i64;i64;%struct._IO_FILE*;],ret:i64
usage,args:[i32;],ret:void
emit_stdin_note,args:[],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
xset_binary_mode,args:[i32;i32;],ret:void
do_decode,args:[%struct._IO_FILE*;i8*;%struct._IO_FILE*;i1;],ret:void
do_encode,args:[%struct._IO_FILE*;i8*;%struct._IO_FILE*;i64;],ret:void
set_binary_mode,args:[i32;i32;],ret:i32
xset_binary_mode_error,args:[],ret:void
__gl_setmode,args:[i32;i32;],ret:i32
base64_decode_ctx_init,args:[%struct.base64_decode_context*;],ret:void
isubase64,args:[i8;],ret:i1
memmove.inline,args:[i8*;i8*;i64;],ret:i8*
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
feof_unlocked,args:[%struct._IO_FILE*;],ret:i32
base64_required_padding,args:[i32;],ret:i32
putc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
write_error,args:[],ret:void
finish_and_exit,args:[%struct._IO_FILE*;i8*;],ret:void
wrap_write,args:[i8*;i64;i64;i64*;%struct._IO_FILE*;],ret:void
fputc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
usage,args:[i32;],ret:void
emit_stdin_note,args:[],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
xset_binary_mode,args:[i32;i32;],ret:void
do_decode,args:[%struct._IO_FILE*;i8*;%struct._IO_FILE*;i1;],ret:void
do_encode,args:[%struct._IO_FILE*;i8*;%struct._IO_FILE*;i64;],ret:void
set_binary_mode,args:[i32;i32;],ret:i32
xset_binary_mode_error,args:[],ret:void
__gl_setmode,args:[i32;i32;],ret:i32
base32_decode_ctx_init,args:[%struct.base32_decode_context*;],ret:void
isubase32,args:[i8;],ret:i1
memmove.inline,args:[i8*;i8*;i64;],ret:i8*
ferror_unlocked,args:[%struct._IO_FILE*;],ret:i32
feof_unlocked,args:[%struct._IO_FILE*;],ret:i32
base32_required_padding,args:[i32;],ret:i32
putc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
write_error,args:[],ret:void
finish_and_exit,args:[%struct._IO_FILE*;i8*;],ret:void
wrap_write,args:[i8*;i64;i64;i64*;%struct._IO_FILE*;],ret:void
fputc_unlocked,args:[i32;%struct._IO_FILE*;],ret:i32
usage,args:[i32;],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
perform_basename,args:[i8*;i8*;i1;],ret:void
remove_suffix,args:[i8*;i8*;],ret:void
putchar_unlocked,args:[i32;],ret:i32
usage,args:[i32;],ret:void
emit_stdin_note,args:[],ret:void
emit_mandatory_arg_note,args:[],ret:void
emit_ancillary_info,args:[i8*;],ret:void
main,args:[i32;i8**;],ret:i32
base64_length_wrapper,args:[i32;],ret:i32
base64_required_padding,args:[i32;],ret:i32
isubase64,args:[i8;],ret:i1
base64_decode_ctx_init_wrapper,args:[%struct.base_decode_context*;],ret:void
base64_decode_ctx_wrapper,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
isubase64url,args:[i8;],ret:i1
base64url_encode,args:[i8*;i64;i8*;i64;],ret:void
base64url_decode_ctx_init_wrapper,args:[%struct.base_decode_context*;],ret:void
base64url_decode_ctx_wrapper,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
base32_length_wrapper,args:[i32;],ret:i32
base32_required_padding,args:[i32;],ret:i32
isubase32,args:[i8;],ret:i1
base32_decode_ctx_init_wrapper,args:[%struct.base_decode_context*;],ret:void
base32_decode_ctx_wrapper,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
isubase32hex,args:[i8;],ret:i1
base32hex_encode,args:[i8*;i64;i8*;i64;],ret:void
base32hex_decode_ctx_init_wrapper,args:[%struct.base_decode_context*;],ret:void
base32hex_decode_ctx_wrapper,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
base16_length,args:[i32;],ret:i32
no_required_padding,args:[i32;],ret:i32
isubase16,args:[i8;],ret:i1
base16_encode,args:[i8*;i64;i8*;i64;],ret:void
base16_decode_ctx_init,args:[%struct.base_decode_context*;],ret:void
base16_decode_ctx,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
base2_length,args:[i32;],ret:i32
isubase2,args:[i8;],ret:i1
base2msbf_encode,args:[i8*;i64;i8*;i64;],ret:void
base2_decode_ctx_init,args:[%struct.base_decode_context*;],ret:void
base2msbf_decode_ctx,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
base2lsbf_encode,args:[i8*;i64;i8*;i64;],ret:void
base2lsbf_decode_ctx,args:[%struct.base_decode_context*;i8*;i64;i8*;i64*;],ret:i1
z85_length,args:[i32;],ret:i32
isuz85,args:[i8;],ret:i1
z85_encode,args:[i8*;i64;i8*;i64;],ret:void
